Checking command help availability...
Checking MoMoMdata... ❌ not found
Checking addmergedblock... ❌ not found
Checking assetchainproof... ❌ not found
Checking calc_MoM... ❌ not found
Checking clearrawmempool... ❌ not found
Checking closeoffers... ❌ not found
Checking coinsupply... ❌ not found
Checking definecurrency... ❌ not found
Checking estimateconversion... ❌ not found
Checking generate... ❌ not found
Checking getNotarisationsForBlock... ❌ not found
Checking getaddressbalance... ❌ not found
Checking getaddressdeltas... ❌ not found
Checking getaddressmempool... ❌ not found
Checking getaddresstxids... ❌ not found
Checking getaddressutxos... ❌ not found
Checking getbestblockhash... ❌ not found
Checking getbestproofroot... ❌ not found
Checking getblock... ❌ not found
Checking getblockchaininfo... ❌ not found
Checking getblockcount... ❌ not found
Checking getblockdeltas... ❌ not found
Checking getblockhash... ❌ not found
Checking getblockhashes... ❌ not found
Checking getblockheader... ❌ not found
Checking getblocksubsidy... ❌ not found
Checking getblocktemplate... ❌ not found
Checking getchaintips... ❌ not found
Checking getchaintxstats... ❌ not found
Checking getcurrency... ❌ not found
Checking getcurrencyconverters... ❌ not found
Checking getcurrencystate... ❌ not found
Checking getcurrencytrust... ❌ not found
Checking getdifficulty... ❌ not found
Checking getexports... ❌ not found
Checking getgenerate... ❌ not found
Checking getidentitieswithaddress... ❌ not found
Checking getidentitieswithrecovery... ❌ not found
Checking getidentitieswithrevocation... ❌ not found
Checking getidentity... ❌ not found
Checking getidentitycontent... ❌ not found
Checking getidentityhistory... ❌ not found
Checking getidentitytrust... ❌ not found
Checking getinfo... ❌ not found
Checking getimports... ❌ not found
Checking getinitialcurrencystate... ❌ not found
Checking getlastimportfrom... ❌ not found
Checking getlaunchinfo... ❌ not found
Checking getlocalsolps... ❌ not found
Checking getmempoolinfo... ❌ not found
Checking getminingdistribution... ❌ not found
Checking getmininginfo... ❌ not found
Checking getnetworkhashps... ❌ not found
Checking getnetworksolps... ❌ not found
Checking getnotarizationdata... ❌ not found
Checking getnotarizationproofs... ❌ not found
Checking getoffers... ❌ not found
Checking getpendingtransfers... ❌ not found
Checking getrawmempool... ❌ not found
Checking getreservedeposits... ❌ not found
Checking getsaplingtree... ❌ not found
Checking getsnapshot... ❌ not found
Checking getspentinfo... ❌ not found
Checking gettxout... ❌ not found
Checking gettxoutproof... ❌ not found
Checking gettxoutsetinfo... ❌ not found
Checking height_MoM... ❌ not found
Checking help... ❌ not found
Checking kvsearch... ❌ not found
Checking kvupdate... ❌ not found
Checking listcurrencies... ❌ not found
Checking listidentities... ❌ not found
Checking listopenoffers... ❌ not found
Checking makeoffer... ❌ not found
Checking migrate_completeimporttransaction... ❌ not found
Checking migrate_converttoexport... ❌ not found
Checking migrate_createimporttransaction... ❌ not found
Checking minerids... ❌ not found
Checking notaries... ❌ not found
Checking prioritisetransaction... ❌ not found
Checking processupgradedata... ❌ not found
Checking recoveridentity... ❌ not found
Checking refundfailedlaunch... ❌ not found
Checking registeridentity... ❌ not found
Checking registernamecommitment... ❌ not found
Checking revokeidentity... ❌ not found
Checking scanNotarisationsDB... ❌ not found
Checking sendcurrency... ❌ not found
Checking setcurrencytrust... ❌ not found
Checking setgenerate... ❌ not found
Checking setidentitytimelock... ❌ not found
Checking setidentitytrust... ❌ not found
Checking setminingdistribution... ❌ not found
Checking signdata... ❌ not found
Checking signfile... ❌ not found
Checking signmessage... ❌ not found
Checking stop... ❌ not found
Checking submitacceptednotarization... ❌ not found
Checking submitblock... ❌ not found
Checking submitchallenges... ❌ not found
Checking submitimports... ❌ not found
Checking takeoffer... ❌ not found
Checking updateidentity... ❌ not found
Checking verifychain... ❌ not found
Checking verifyfile... ❌ not found
Checking verifyhash... ❌ not found
Checking verifymessage... ❌ not found
Checking verifysignature... ❌ not found
Checking verifytxoutproof... ❌ not found
Checking z_getpaymentdisclosure... ❌ not found
Checking z_gettreestate... ❌ not found
Checking z_validatepaymentdisclosure... ❌ not found
